Typical Measured Spectrum of Semrock LPD02-785RU Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
945.4	0.98451
945.6	0.98411
945.8	0.98182
946.0	0.98204
946.2	0.98135
946.4	0.98225
946.6	0.98602
946.8	0.98633
947.0	0.98357
947.2	0.98256
947.4	0.98523
947.6	0.98719
947.8	0.98801
948.0	0.98948
948.2	0.98939
948.4	0.98964
948.6	0.99041
948.8	0.98941
949.0	0.98768
949.2	0.98693
949.4	0.9871
949.6	0.98592
949.8	0.98781
950.0	0.98783
950.2	0.9862
950.4	0.98667
950.6	0.98707
950.8	0.98454
951.0	0.98427
951.2	0.98375
951.4	0.98594
951.6	0.98817
951.8	0.98664
952.0	0.98728
952.2	0.988
952.4	0.98604
952.6	0.98515
952.8	0.98533
953.0	0.98435
953.2	0.98453
953.4	0.9828
953.6	0.98301
953.8	0.98319
954.0	0.98292
954.2	0.98049
954.4	0.98013
954.6	0.98191
954.8	0.98214
955.0	0.98224
955.2	0.98372
955.4	0.98405
955.6	0.98452
955.8	0.98499
956.0	0.98415
956.2	0.98508
956.4	0.98329
956.6	0.98347
956.8	0.98354
957.0	0.98583
957.2	0.98676
957.4	0.98634
957.6	0.98795
957.8	0.98983
958.0	0.98907
958.2	0.98791
958.4	0.98682
958.6	0.98539
958.8	0.9835
959.0	0.98425
959.2	0.9864
959.4	0.98648
959.6	0.98705
959.8	0.98932
960.0	0.98943
960.2	0.9914
960.4	0.99096
960.6	0.98903
960.8	0.98921
961.0	0.9901
961.2	0.99035
961.4	0.99106
961.6	0.99104
961.8	0.99073
962.0	0.99074
962.2	0.98997
962.4	0.99053
962.6	0.99024
962.8	0.98908
963.0	0.98555
963.2	0.98422
963.4	0.98374
963.6	0.9837
963.8	0.98666
964.0	0.98945
964.2	0.98824
964.4	0.98763
964.6	0.98458
964.8	0.98097
965.0	0.97874
965.2	0.97678
965.4	0.97642
965.6	0.9747
965.8	0.97623
966.0	0.97915
966.2	0.97872
966.4	0.97948
966.6	0.98178
966.8	0.98158
967.0	0.98104
967.2	0.97915
967.4	0.97751
967.6	0.97683
967.8	0.97739
968.0	0.97659
968.2	0.97573
968.4	0.97365
968.6	0.97162
968.8	0.96759
969.0	0.96611
969.2	0.9675
969.4	0.96777
969.6	0.96837
969.8	0.96823
970.0	0.96948
970.2	0.96941
970.4	0.97059
970.6	0.97144
970.8	0.97157
971.0	0.97245
971.2	0.97394
971.4	0.97476
971.6	0.97454
971.8	0.97466
972.0	0.97437
972.2	0.97478
972.4	0.9743
972.6	0.97423
972.8	0.9735
973.0	0.97661
973.2	0.9788
973.4	0.98034
973.6	0.9812
973.8	0.98148
974.0	0.98254
974.2	0.98109
974.4	0.98045
974.6	0.98017
974.8	0.9807
975.0	0.97944
975.2	0.97901
975.4	0.97951
975.6	0.97949
975.8	0.97956
976.0	0.98114
976.2	0.98187
976.4	0.98279
976.6	0.98188
976.8	0.98473
977.0	0.98741
977.2	0.98735
977.4	0.98442
977.6	0.98166
977.8	0.97965
