cyc,time,y2 piezo,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
38,1.27,95,38,39161.2,0,5,101,125,0,5,135,-7.40309,-3.57935,-7.1445,-6.0476,-2.3301,-127.521,-25.7206,43337.4,-17.1963,16439.4,-6.91038,-3.08663,-6.15907,-5.55489,-1.83738,0.73845,-18.2682,43896.3,-9.74393,0.609735,-0.000237867,1.00012,-29.9609,228.015,350.3,0.217237,62458.3,1.11853e-06,0.252671,106.007,88.0428,20.9959,25.7763,0.814543,401.484,615.679,0.444493 
39,9.67,95,39,37429.1,0,5,101,125,0,5,135,-3.95222,-4.38924,-11.4782,-2.63552,-2.19962,-80.4009,-32.8587,41081.4,-35.2637,16439.4,-3.64156,-4.07859,-10.8569,-2.32486,-1.88897,0.52363,-28.16,41433.8,-30.565,0.434313,-0.000388516,1.0004,-64.8381,297.421,359.47,0.290896,60018.4,1.10377e-06,0.296237,108.578,86.8869,21.6943,23.6343,0.917915,428.636,517.605,0.426742 
40,0.43,95,40,38483.5,0,5,101,125,0,5,135,-3.5321,-2.47767,-12.3905,-6.89644,-6.90517,-183.349,-14.2663,42683,-45.8251,16439.4,-2.82367,-1.76925,-10.9736,-6.18802,-6.19675,0.607403,-3.55134,43486.6,-35.1101,0.0777379,-4.6668e-05,1.00044,-45.6835,296.012,262.77,0.204578,62386.4,1.1181e-06,0.249438,108.072,89.1932,24.4994,22.8742,1.07105,546.648,484.848,0.460444 
41,2.95,95,41,38013.9,0,5,101,125,0,5,135,-7.22862,-2.29164,-8.03419,-4.35086,-1.18431,-88.9837,-2.68046,41757.6,-40.5958,16439.4,-6.8848,-1.94783,-7.34656,-4.00705,-0.840491,0.650609,2.51975,42147.6,-35.3956,-0.0630648,3.41611e-05,1.00046,-39.9549,325.621,306.546,0.237636,60595.9,1.1073e-06,0.285325,108.185,88.0358,24.2913,23.3616,1.03979,537.403,505.73,0.470809 
42,5.47,95,42,40367.6,0,5,101,125,0,5,135,-5.82405,-5.18394,-9.64238,-2.60433,-1.81473,-89.9558,-17.7287,44088.1,-35.1141,16439.4,-5.47648,-4.83637,-8.94724,-2.25676,-1.46716,0.610719,-12.4717,44482.4,-29.8571,0.258212,-0.000160239,1.00036,-48.3002,293.239,320.294,0.220442,64708.3,1.1318e-06,0.270779,109.062,87.4705,23.6644,24.5384,0.964385,510.025,557.962,0.471333 
43,9.25,95,43,42224.8,0,5,101,125,0,5,135,-5.10061,-6.70996,-16.2141,0.280415,-7.54481,-155.641,-8.97916,45751.7,-25.2169,16439.4,-4.49925,-6.1086,-15.0113,0.88178,-6.94344,0.52617,0.11647,46433.8,-16.1213,-0.00605694,1.43331e-06,1.00019,-19.2291,346.756,371.061,0.291735,66502.3,1.14217e-06,0.314055,109.122,87.5875,23.3912,23.9975,0.974734,498.314,533.636,0.451487 
44,4.21,95,44,41658.3,0,5,101,125,0,5,135,-3.70733,-4.86855,-1.98874,-4.04257,-7.11319,-111.717,-9.55327,45179.2,-25.058,16439.4,-3.27568,-4.4369,-1.12543,-3.61092,-6.68153,0.941171,-3.02452,45668.9,-18.5292,0.119737,-3.78455e-05,1.00022,-25.2596,260.812,338.151,0.257115,65791.2,1.13808e-06,0.260944,109.521,86.1637,21.112,23.8586,0.884877,405.934,527.478,0.406591 
45,6.31,95,45,40545.7,0,5,101,125,0,5,135,-4.70801,-4.20307,-4.85137,-3.85933,-4.69598,-144.054,-1.49379,44028.2,-40.4103,16439.4,-4.15141,-3.64647,-3.73817,-3.30273,-4.13939,0.803028,6.92475,44659.6,-31.9918,-0.220075,8.85958e-05,1.00039,-31.4654,343.745,352.772,0.270738,64717.6,1.13186e-06,0.307662,107.875,87.9378,23.8708,23.9596,0.996291,518.957,531.953,0.464207 
46,7.99,95,46,38395.8,0,5,101,125,0,5,135,-3.93428,-2.18905,-3.16827,-5.19634,-2.09205,-147.365,-22.4339,42407.2,-43.4274,16439.4,-3.36489,-1.61966,-2.02949,-4.62694,-1.52266,0.845826,-13.8219,43053.1,-34.8154,0.248594,-0.000183487,1.00044,-55.6003,235.025,288.645,0.204064,61621.3,1.11351e-06,0.233908,106.98,87.3277,21.8201,23.9732,0.910188,433.622,532.554,0.431563 
47,1.69,95,47,39826.2,0,5,101,125,0,5,135,-4.85363,-3.99533,-8.3982,-3.93374,-0.562013,-82.1037,-2.0729,43802.5,-30.7285,16439.4,-4.5364,-3.67809,-7.76373,-3.61651,-0.24478,0.608673,2.72524,44162.3,-25.9304,-0.095989,3.52614e-05,1.00032,-28.3912,243.865,320.291,0.254317,63256.7,1.12327e-06,0.248806,106.272,85.0417,20.5038,23.31,0.879616,382.885,503.496,0.390883 
