cyc,time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
43,4.82,43,48710,0,5,101,125,0,5,135,-3.90867,-4.96608,-9.18246,-5.7192,-3.90735,-217.796,-5.26456,53017.2,-35.1142,16439.4,-3.06715,-4.12456,-7.49942,-4.87769,-3.06584,0.668675,7.46341,53971.8,-22.3863,-0.384709,7.90129e-05,1.00023,-19.4001,228.957,287.966,0.198173,74530.6,1.18639e-06,0.216431,108.531,87.4028,21.779,24.2174,0.899313,431.992,543.461,0.408407 
44,2.35,44,49329.1,0,5,101,125,0,5,135,-4.59667,-4.12961,-8.95723,-3.3625,-1.00565,-177.582,-12.3751,53907.3,-47.7148,16439.4,-3.91053,-3.44347,-7.58495,-2.67636,-0.319507,0.577082,-1.99727,54685.7,-37.337,0.0426752,-2.08706e-05,1.00037,-46.8016,253.415,282.837,0.188223,76790.9,1.19827e-06,0.223425,106.263,86.8656,23.4337,24.5643,0.953973,500.128,559.143,0.441315 
45,1.44,45,48829.5,0,5,101,125,0,5,135,-2.22845,-4.85946,-4.04819,0.201606,-3.80966,-222.333,-4.84628,53340.9,-26.7683,16439.4,-1.3694,-4.00041,-2.33009,1.06066,-2.95061,0.757026,8.14686,54315.3,-13.7751,-0.971794,8.57023e-05,1.00014,-8.38332,234.036,330.763,0.223491,75530.4,1.19167e-06,0.233477,105.876,87.4583,21.0336,24.748,0.84991,402.925,567.535,0.401283 
46,4.95,46,47687.2,0,5,101,125,0,5,135,0.320543,-6.29781,-4.56598,-2.68526,-0.164875,-173.774,-20.7243,52006.9,-30.5211,16439.4,0.991972,-5.62638,-3.22312,-2.01383,0.506554,0.655826,-10.5689,52768.6,-20.3658,0.301902,-0.000114464,1.00021,-35.0078,238.86,276.344,0.192364,73439.1,1.18057e-06,0.217623,109.022,87.4299,22.5426,23.9771,0.940175,462.815,532.727,0.420594 
47,3.13,47,45995.9,0,5,101,125,0,5,135,-7.11225,-4.15073,-11.3958,-1.58684,-3.03012,-139.026,-6.24031,50258.9,-52.0507,16439.4,-6.57508,-3.61356,-10.3215,-1.04967,-2.49295,0.570881,1.88439,50868.2,-43.926,-0.0370747,2.11679e-05,1.00047,-50.8269,334.769,324.178,0.234047,72500.1,1.17552e-06,0.280243,107.334,90.6842,24.7559,24.122,1.02628,558.155,539.188,0.466679 
48,2.09,48,45993.1,0,5,101,125,0,5,135,-1.96964,-3.28182,-7.66902,-1.43727,-1.17278,-233.235,-0.6262,50436.3,-40.2664,16439.4,-1.06847,-2.38064,-5.86667,-0.536092,-0.27161,0.420489,13.0041,51458.6,-26.6361,-0.685896,0.000144385,1.00028,-18.9593,239.032,271.594,0.207723,72396,1.17496e-06,0.216854,106.142,84.8047,21.8316,23.098,0.945175,434.082,494.381,0.394271 
49,2.22,49,48930.4,0,5,101,125,0,5,135,-7.79272,-2.97344,-3.60011,-3.84779,-7.24326,-152.018,-3.04558,53355.2,-39.9243,16439.4,-7.20535,-2.38608,-2.42538,-3.26042,-6.6559,0.889419,5.83835,54021.5,-31.0404,-0.185875,6.1753e-05,1.00031,-31.4101,248.513,280.184,0.198749,75934.6,1.1938e-06,0.221038,106.331,85.239,22.6982,23.8883,0.950181,469.225,528.789,0.417255 
50,0.79,50,48142.9,0,5,101,125,0,5,135,-2.91514,-4.89568,-11.0434,-2.41299,1.1076,-248.437,-28.8648,52771.9,-27.7538,16439.4,-1.95523,-3.93577,-9.12357,-1.45308,2.06751,0.366425,-14.3461,53860.8,-13.2352,0.474591,-0.000152226,1.00013,-30.2283,338.948,290.813,0.256667,75828.5,1.19324e-06,0.263115,106.233,94.2014,24.108,22.0756,1.09206,529.322,451.583,0.409733 
51,1.57,51,48448.5,0,5,101,125,0,5,135,-5.07961,-1.00959,-10.032,-3.20782,-2.1426,-200.44,-15.1073,52878.9,-28.707,16439.4,-4.30515,-0.235134,-8.48308,-2.43336,-1.36814,0.495801,-3.39356,53757.4,-16.9933,0.142673,-3.6074e-05,1.00017,-23.7856,238.742,332.755,0.237345,75267.5,1.19029e-06,0.236796,105.978,86.4399,20.7776,24.2928,0.855299,393.178,546.849,0.389561 
52,3.26,52,47656,0,5,101,125,0,5,135,-4.52455,-5.62086,-7.92241,-0.828066,-2.25472,-176.99,-19.8972,52045.5,-47.2492,16439.4,-3.8407,-4.93701,-6.5547,-0.14421,-1.57087,0.615503,-9.55392,52821.3,-36.9059,0.177447,-0.000103366,1.00038,-53.841,295.655,288.581,0.203316,73664.1,1.18178e-06,0.247168,108.108,91.0229,24.5612,24.0056,1.02314,549.41,533.994,0.458333 
53,4.3,53,47156.3,0,5,101,125,0,5,135,-1.98335,-5.21773,-12.1483,-9.53458,-6.57619,-228.014,10.7399,51510.3,-27.4826,16439.4,-1.10236,-4.33673,-10.3863,-8.65358,-5.69519,0.655789,24.065,52509.7,-14.1575,3.40094,0.000261815,1.00015,7.07599,240.284,318.792,0.226923,73124.4,1.17888e-06,0.234771,109.229,87.0294,21.2149,24.1793,0.877401,409.904,541.752,0.399733 
