cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
39,1.8,39,7295.53,-0.00750298,15.6035,11.8933,92.7162,0.00451047,8.2313,500,-0.406913,2.56614,4.41982,0.597202,0.364919,-310.684,560.195,43.0541,8096.97,6042.36,1.54938,4.52243,8.33241,2.55349,2.32121,0.567797,995.96,75.3329,8532.74,0.124607,0.883106,0.0160031,7992.8 
40,1.6,40,7618.47,-0.0317889,16.0699,11.8701,92.855,-0.0699694,3.05235,428.468,5.8577,2.81273,1.58202,-0.906289,1.29917,-197.397,402.055,82.6317,8653.39,6216.58,7.10065,4.05569,4.06792,0.336665,2.54212,0.775291,678.923,103.14,8930.26,0.084847,0.789979,0.0208323,8001.73 
41,2,41,5773.32,-0.0195499,13.1503,11.9471,92.6165,-0.00249938,25.4892,500,3.51076,-1.14163,0.391904,-0.993474,-6.21895,-324.378,897.992,48.9255,6449.6,5116.45,5.55328,0.900894,4.47694,1.04905,-4.17643,0.426308,1352.96,82.6271,6904.57,0.192875,0.903445,0.021569,7014.71 
42,4,42,3277.52,-0.0277513,16.3954,-11.0127,93.4177,-0.00646379,48.6227,2.48584e-13,2.56476,2.30954,-5.00154,-3.73429,-6.5201,-929.68,6745.59,10.6032,1717.14,5888,8.41871,8.16349,6.70635,2.11966,-0.666147,0.728949,8049.55,107.193,3021.11,0.764668,0.977227,0.0613507,10526.9 
43,2.6,43,5162.44,-0.0803293,14.4675,11.6912,93.2586,-0.0827563,57.0039,500,6.04047,3.16809,5.68339,-2.58331,-2.68011,-475.86,2625.41,41.6185,5204.07,5659.72,9.03683,6.16445,11.6761,0.413049,0.316248,0.577055,3292.85,91.0584,5871.51,0.406149,0.95384,0.0277749,8107.48 
44,1.2,44,5164.87,-0.24267,11.4028,12.252,92.2828,0.144118,-198.208,462.86,-0.0870951,2.52774,-6.17645,0.044182,-3.36234,-227.125,6.80528,45.0771,6408.04,5477.85,1.34305,3.95788,-3.31616,1.47433,-1.9322,3.17183,325.37,68.6745,6726.6,0.0557028,0.730265,0.0184596,5841.18 
45,2.1,45,5368.79,-0.348198,12.7821,12.2128,92.8182,0.598058,-45.4341,0.588738,1.49259,3.40786,-1.02002,-3.51864,-2.63079,-313.884,904.64,18.2254,6123.93,5966.26,3.46904,5.38431,2.93287,-1.54219,-0.654338,0.694164,1344.89,50.8367,6564.18,0.199909,0.937955,0.0140656,6727.52 
46,3.5,46,3216.99,-0.989673,15.4471,11.7402,93.5448,-0.152785,369.967,217.709,6.40725,3.71116,9.35138,-0.979116,-5.40427,-753.69,5112.1,44.1611,2403.64,7743.68,11.153,8.45695,18.843,3.76667,-0.658484,0.546621,6169.23,122.467,3460.77,0.684933,0.966427,0.0611975,9007.06 
47,0,47,8155.36,-0.191948,15.884,12.5229,92.6717,-0.11533,126.45,453.676,0.989092,-2.37359,2.80412,-1.18694,-3.47167,-136.049,-38.8266,37.1521,9063.76,6950.05,1.84576,-1.51692,4.51745,-0.330272,-2.615,-1.37634,151.996,51.2871,9254.58,0.0196358,0.628736,0.0101054,7740.75 
48,2.2,48,7481.97,-0.454064,17.7527,12.0536,92.7584,-0.630349,2324.3,451.336,3.16232,2.85755,3.01047,-2.03456,-3.70385,-403.205,1689.36,80.6901,7766.38,54660.5,5.70119,5.39643,8.08822,0.504314,-1.16497,0.563393,2254.89,122.581,8331.91,0.248143,0.91313,0.0263865,9087.06 
49,1.65,49,6755.76,-0.00372274,13.9969,12.0098,92.5718,-0.00194696,22.2989,500,0.68364,-0.125727,-3.9516,-6.27225,-0.693075,-185.204,223.156,46.681,7703.92,5473.61,1.84982,1.04045,-1.61924,-5.10607,0.473104,0.51836,482.923,65.923,7963.69,0.0688597,0.807174,0.0150198,7013.15 
50,1.55,50,9350.52,-0.0465338,18.7085,12.2743,92.6785,0.01379,6.72475,500,2.91972,-5.61981,-1.32083,-7.959,-3.30291,-209.204,258.555,52.4048,10384.8,7478.37,4.23702,-4.30251,1.31377,-6.64169,-1.98561,1.17804,551.984,74.1403,10678.2,0.0593012,0.809682,0.0126284,9308.14 
51,1.35,51,7873.13,-0.227287,15.9178,12.3629,92.5381,-0.104529,194.673,451.07,3.27918,1.72104,0.749965,-6.59715,-2.96988,-195.401,104.327,51.7813,8858.46,7068.63,4.50957,2.95143,3.21074,-5.36676,-1.73949,0.0994946,378.395,72.0826,9132.53,0.0480986,0.749981,0.0143313,7867.07 
52,2.4,52,3702.85,-0.0162856,10.7779,11.5302,92.9056,-0.0806672,96.8088,500,1.89139,-1.4299,1.08528,-6.05229,-3.9088,-400.708,1587.84,27.5639,4442.34,4299.65,4.41454,1.09325,6.13158,-3.52914,-1.38564,0.088185,2149.87,69.196,5004.37,0.343789,0.946678,0.0248383,6253.45 
53,3,53,3978.03,-0.804562,14.5462,12.2127,93.2902,0.877911,-498.957,41.9931,2.11717,3.85292,5.01888,-2.48613,-2.01181,-555.083,3819.28,11.5617,3729.33,20042.7,5.61238,7.34812,12.0093,1.00908,1.4834,0.562699,4597.83,69.2327,4507.89,0.554337,0.974326,0.0275129,8294.3 
54,5,54,1981.18,-0.55645,14.3296,11.2162,93.7702,0.704279,-262.328,499.977,2.08272,-1.50305,2.79924,-0.994747,-5.84348,-925.098,6133.11,-14.677,903.826,11246.4,7.90781,4.32204,14.4494,4.83035,-0.0183842,0.54116,7430.65,81.437,2201.37,0.804551,0.981182,0.0637989,9235.77 
55,1.45,55,6373.77,-0.248817,13.3724,12.4633,92.7319,-0.282496,231.292,445.318,-2.45622,1.84339,5.88134,0.0164608,0.103308,-198.875,41.6631,40.0864,7475.99,7552.47,-1.20395,3.09565,8.38587,1.26872,1.35557,0.350027,320.605,60.7487,7754.93,0.0479972,0.75098,0.014225,6679.65 
56,1.4,56,6811.67,-0.218655,13.917,12.4133,92.6927,0.555802,61.9853,213.905,0.394121,1.47822,0.137825,-4.73168,2.93721,-274.012,40.5438,77.679,7843.26,6745.28,2.1195,3.2036,3.58859,-3.00629,4.66259,0.660428,424.873,106.148,8227.59,0.0592446,0.695792,0.0232141,7171.5 
57,1.75,57,7801.97,-0.3254,16.9288,12.1905,92.7187,0.332293,178.388,490.361,-2.44283,0.16975,-4.18973,-3.67085,-3.79516,-297.577,546.939,62.7087,8759.84,8647.74,-0.569064,2.04351,-0.442197,-1.79708,-1.9214,0.835384,964.32,93.6258,9177.22,0.113588,0.854768,0.0184464,8489.64 
58,1.3,58,8725.49,-0.262749,17.2706,12.6995,92.5345,-0.23807,77.1719,259.571,3.96029,1.82054,0.187621,4.50504,-4.77397,-230.995,-18.2508,24.4142,9738.44,7737.9,5.41481,3.27506,3.09665,5.95956,-3.31945,0.785351,305.743,48.4137,10062.4,0.0357304,0.783019,0.00878512,8556.93 
59,2.8,59,6078.04,-0.441653,18.5519,11.6222,93.1315,0.0651667,369.086,499.942,3.0081,1.88091,6.12372,-3.50468,-4.85136,-724.23,4098.86,26.7277,5374.48,7801.95,7.56838,6.4412,15.2443,1.05561,-0.291079,0.492169,5114.66,101.972,6390.28,0.493946,0.966286,0.0285558,10354.7 
